"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D3","LED-0402","-179.133mil","375mil","-179.133mil","375mil","-179.133mil","358.268mil","T","90.00","G"
"R7","0402R","-818.898mil","248.031mil","-818.898mil","248.031mil","-801.181mil","248.031mil","T","180.00","NC"
"TP5","TP_1.5MM","-163.386mil","-7.874mil","-163.386mil","-7.874mil","-163.386mil","-7.874mil","B","180.00","NC"
"P1","CON4_1.5mmÁ¢Ìù","-289.37mil","49.213mil","-289.37mil","86.614mil","-377.953mil","86.614mil","T","180.00","4PÁ¢Ìù1.5 ±à´ø°×"
"USB1","type-c_Ä¸×ù_6PÎÔÌù6.8mm","-537.402mil","323.819mil","-537.402mil","257.874mil","-431.102mil","240.158mil","T","180.00","Type-c_6P"
"U3","ESOP8","-714.567mil","52.165mil","-714.567mil","52.165mil","-604.331mil","-22.835mil","T","180.00","CL4056D"
"TP4","TP_1.5MM","-249.344mil","-7.874mil","-249.344mil","-7.874mil","-249.344mil","-7.874mil","B","180.00","NC"
"TP3","TP_1.5MM","-829.725mil","247.047mil","-829.724mil","247.047mil","-829.725mil","247.047mil","B","180.00","NC"
"TP2","TP_1.5MM","-335.302mil","-7.874mil","-335.302mil","-7.874mil","-335.302mil","-7.874mil","B","180.00","NC"
"TP1","TP_1.5MM","-421.26mil","-7.874mil","-421.26mil","-7.874mil","-421.26mil","-7.874mil","B","180.00","NC"
"R14","0402R","-911.417mil","97.441mil","-911.417mil","97.441mil","-893.701mil","97.441mil","T","180.00","2K"
"R11","0402R","-911.417mil","57.087mil","-911.417mil","57.087mil","-893.701mil","57.087mil","T","180.00","2K"
"R8","0402R","-535.433mil","-0.984mil","-535.433mil","-0.984mil","-535.433mil","16.732mil","T","270.00","1K2"
"R2","0402R","-444.882mil","150.591mil","-444.882mil","150.591mil","-444.882mil","132.874mil","T","90.00","5K1"
"R1","0402R","-486.221mil","150.591mil","-486.221mil","150.591mil","-486.221mil","132.874mil","T","90.00","5K1"
"Q1","SOT-23","-822.835mil","340.455mil","-822.835mil","341.536mil","-860.335mil","298.036mil","T","360.00","BAT54C"
"D2","LED-0402","-211.614mil","375mil","-211.614mil","375mil","-211.614mil","358.268mil","T","90.00","B"
"D1","LED-0402","-244.094mil","375mil","-244.094mil","375mil","-244.094mil","358.268mil","T","90.00","R"
"C11","0402C","-791.339mil","192.913mil","-791.339mil","192.913mil","-809.055mil","192.913mil","T","360.00","105"
"C7","0603C","-535.433mil","96.457mil","-535.433mil","96.457mil","-535.433mil","124.016mil","T","270.00","105"

