"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"TP6","TP_1.5MM","-681.102mil","428.15mil","-681.102mil","428.15mil","-681.102mil","428.15mil","T","0.00","NC"
"TP5","TP_1.5MM","-673.228mil","279.528mil","-673.228mil","279.528mil","-673.228mil","279.528mil","T","0.00","NC"
"D9","LED_2835","-843.315mil","350.892mil","-845.472mil","355.315mil","-823.036mil","309.314mil","T","116.00","W"
"D8","LED_2835","-142.761mil","-509.903mil","-138.78mil","-512.795mil","-180.186mil","-482.712mil","T","324.00","W"
"D7","LED_2835","-1132.382mil","23.297mil","-1129.921mil","27.559mil","-1155.512mil","-16.765mil","T","60.00","Y"
"D6","LED_2835","-54.127mil","-149.864mil","-49.213mil","-149.606mil","-100.324mil","-152.285mil","T","3.00","W"
"D5","LED_2835","-507.66mil","378.998mil","-506.89mil","383.858mil","-514.896mil","333.307mil","T","81.00","W"
"D4","LED_2835","-184.76mil","205.368mil","-181.102mil","208.661mil","-219.137mil","174.415mil","T","42.00","W"
"D3","LED_2835","-475.683mil","-737.372mil","-474.409mil","-742.126mil","-487.656mil","-692.689mil","T","285.00","W"

